Year,Player,concat,count,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Honors
2019,Jarrett Allen,2019Jarrett Allen,1,C,20,BRK,80,80,2096,5.8,9.8,0.59,0.1,0.8,0.133,5.7,9,0.629,3.4,4.8,0.709,3.3,8.3,11.5,1.9,0.7,2.1,1.8,3.2,15,No_Honors
2019,Kadeem Allen,2019Kadeem Allen,1,SG,26,NYK,19,1,416,5.6,12.2,0.461,1.5,3.1,0.472,4.2,9.1,0.457,3.6,4.7,0.778,0.7,3.7,4.4,6.6,1.4,0.3,2.3,4,16.4,No_Honors
2019,Al-Farouq Aminu,2019Al-Farouq Aminu,1,PF,28,POR,81,81,2292,4,9.3,0.433,1.5,4.4,0.343,2.5,4.9,0.514,2.4,2.7,0.867,1.8,7.8,9.6,1.6,1.1,0.5,1.1,2.2,11.9,No_Honors
2019,Justin Anderson,2019Justin Anderson,1,SF,25,ATL,48,4,463,5,12.2,0.408,1.9,6,0.312,3.1,6.2,0.5,2,2.7,0.743,1.9,4.7,6.5,1.8,1.7,1,1.8,3.7,13.8,No_Honors
2019,Kyle Anderson,2019Kyle Anderson,1,SF,25,MEM,43,40,1281,4.2,7.8,0.543,0.3,1,0.265,4,6.8,0.583,1,1.8,0.578,1.3,5.7,7.1,3.6,1.5,1,1.6,3.1,9.7,No_Honors
2019,Ryan Anderson,2019Ryan Anderson,1,PF,30,TOT,25,8,322,2.3,7.7,0.304,1,4.5,0.225,1.3,3.2,0.414,1.3,1.8,0.75,2,4,6,2.1,0.4,0.1,1.6,2.8,7,No_Honors
2019,Ike Anigbogu,2019Ike Anigbogu,1,C,20,IND,3,0,6,0,18,0,0,0,,0,18,0,0,0,,6,12,18,6,0,6,6,0,0,No_Honors
2019,Giannis Antetokounmpo,2019Giannis Antetokounmpo,1,PF,24,MIL,72,72,2358,11,19,0.578,0.8,3.1,0.256,10.2,15.9,0.641,7.6,10.5,0.729,2.4,11.3,13.7,6.5,1.4,1.7,4.1,3.5,30.4,First
2019,Kostas Antetokounmpo,2019Kostas Antetokounmpo,1,PF,21,DAL,2,0,11,0,9.8,0,0,0,,0,9.8,0,6.5,13.1,0.5,0,3.3,3.3,0,6.5,0,3.3,0,6.5,No_Honors
2019,Carmelo Anthony,2019Carmelo Anthony,1,PF,34,HOU,10,2,294,6,14.8,0.405,2.6,7.8,0.328,3.4,7,0.491,1.8,2.7,0.682,1.1,5.5,6.6,0.6,0.5,0.9,1,3.9,16.4,No_Honors
2019,OG Anunoby,2019OG Anunoby,1,SF,21,TOR,67,6,1352,4.9,10.8,0.453,1.8,5.4,0.332,3.1,5.4,0.574,1,1.7,0.581,1.5,3.7,5.2,1.3,1.2,0.6,1.5,3.7,12.5,No_Honors
